dataset,topology_type,timestep,metagate_selector,metagate_confidence,metagate_mlu,oracle_selector,oracle_mlu,bn_mlu,topk_mlu,sens_mlu,gnn_mlu,correct,t_bn_ms,t_topk_ms,t_sens_ms,t_gnn_ms,t_features_ms,t_mlp_ms,t_lp_ms,t_decision_ms,t_total_ms
abilene,known,425,topk,0.38277050852775574,0.051803847751686304,gnn,0.0518038476040002,0.0518038477234563,0.0518038477516863,0.0518038476176329,0.0518038476040002,0,0.5651669998769648,0.02741699972830247,0.6891250004628091,2.4166249995687394,1.5409170000566519,0.6510420007543871,62.28599999940343,5.890293000447855,69.9474579996604
abilene,known,426,sensitivity,0.35115116834640503,0.05065483918201793,sensitivity,0.0506548391820179,0.0506548392781944,0.0506548393155669,0.0506548391820179,0.0506548393406479,1,0.5286659998091636,0.01995900038309628,0.675958000101673,2.026583000770188,0.8668330001455615,0.1564169997436693,22.9789589993743,4.274416000953352,28.471207999245962
abilene,known,427,topk,0.3594270646572113,0.050614208359418926,gnn,0.0506142082893387,0.0506142083218628,0.0506142083594189,0.050614208368919,0.0506142082893387,0,0.5182500008231727,0.018292000277142506,0.6417499998860876,2.0334999999249703,0.7723749995420803,0.13366699931793846,23.657749999983935,4.117833999771392,28.912916000081168
abilene,known,428,sensitivity,0.42146384716033936,0.0521649254392338,sensitivity,0.0521649254392338,0.0521649255628271,0.0521649254981803,0.0521649254392338,0.0521649254459038,1,0.5202500005907496,0.018292000277142506,0.674791000164987,1.8570000002000597,0.7761249999020947,0.15050000001792796,23.0178750007326,3.9969580011529615,28.13370900003065
abilene,known,429,sensitivity,0.37529247999191284,0.05253944724971853,sensitivity,0.0525394472497185,0.0525394472890687,0.0525394472745677,0.0525394472497185,0.052539447274269,1,0.5063339995103888,0.01887500002339948,0.6475829995906679,1.9332089996169088,0.7180829998105764,0.14075000035518315,25.668708000011975,3.9648339989071246,30.74587499941117
abilene,known,430,sensitivity,0.4040473401546478,0.05038837061426523,topk,0.0503883705087841,0.0503883705245101,0.0503883705087841,0.0503883706142652,0.0503883705245101,0,0.6366670004354091,0.020667000171670225,0.6782090003980557,1.9748340000660392,0.7652079993931693,0.14841700067336205,24.901125000724278,4.2240020011377055,30.461708000075305
abilene,known,431,topk,0.35556966066360474,0.04664078799922905,bottleneck,0.046640787979534,0.046640787979534,0.046640787999229,0.0466407880403419,0.0466407880277282,0,0.5241669996394194,0.021333999939088244,0.7589580000058049,2.118125000379223,0.8665410005050944,0.15350000012404053,29.505208999580645,4.44262500059267,35.18454200002452
abilene,known,432,sensitivity,0.40917059779167175,0.047074014860803017,bottleneck,0.0470740148177134,0.0470740148177134,0.047074014834808,0.047074014860803,0.0470740148434256,0,0.5310420001478633,0.02258299991808599,0.6463329991674982,2.1375830001488794,1.1109999995824182,0.21708300027967198,27.90729200023634,4.665623999244417,33.7783329996455
abilene,known,433,sensitivity,0.36738482117652893,0.046172231261698234,topk,0.0461722312013886,0.0461722312616982,0.0461722312013886,0.0461722312616982,0.0461722312620869,0,0.5849999997735722,0.049915999625227414,0.7550829996034736,1.9222499995521503,0.811124999927415,0.16420900010416517,26.07054199961567,4.287582998586004,31.553916000120807
abilene,known,434,topk,0.3913538455963135,0.047588844779939854,gnn,0.047588844661691,0.0475888448618483,0.0475888447799398,0.047588844839458,0.047588844661691,0,0.8955000002970337,0.034624999898369424,0.6805419998272555,2.052957999694627,0.9924579999278649,0.18333300067752134,25.736499999766238,4.839416000322672,31.763209000018833
abilene,known,435,sensitivity,0.40518733859062195,0.04856867258725445,bottleneck,0.0485686725412647,0.0485686725412647,0.0485686725704276,0.0485686725872544,0.0485686725518881,0,0.532750000274973,0.020332999156380538,0.6994579998718109,2.0372500002849847,0.9639580002840376,0.16149999919434777,25.321125000118627,4.4152489990665345,31.009041000288562
