topology,scenario,k,delay,method,mean_mlu,p95_mlu,peak_mlu,overload_0p7,overload_0p9,mean_disturb,mean_decision_ms,delta_mean_pct,delta_p95_pct,delta_peak_pct,delta_overload_0p7,delta_overload_0p9,delta_disturb_pct,n_steps
abilene,normal,5,0,reactive,0.059437,0.075639,0.083712,0,0,0.058179,49.32,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,normal,5,0,predictive,0.066020,0.080527,0.084045,0,0,0.020788,30.04,+11.075,+6.462,+0.398,0,0,-64.269,51
abilene,normal,5,0,oracle,0.065919,0.080527,0.084045,0,0,0.021954,28.53,+10.905,+6.462,+0.398,0,0,-62.265,51
abilene,normal,5,1,reactive,0.063708,0.082433,0.091730,0,0,0.058179,26.87,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,normal,5,1,predictive,0.066751,0.080182,0.084045,0,0,0.017835,28.44,+4.777,-2.730,-8.377,0,0,-69.345,51
abilene,normal,5,1,oracle,0.066652,0.079357,0.084045,0,0,0.019252,27.16,+4.621,-3.732,-8.377,0,0,-66.909,51
abilene,normal,5,2,reactive,0.065810,0.081521,0.095430,0,0,0.058179,24.05,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,normal,5,2,predictive,0.067301,0.082665,0.084049,0,0,0.017573,25.92,+2.266,+1.403,-11.926,0,0,-69.795,51
abilene,normal,5,2,oracle,0.066990,0.082665,0.084049,0,0,0.018025,24.47,+1.793,+1.403,-11.926,0,0,-69.017,51
abilene,normal,10,0,reactive,0.054677,0.062575,0.063751,0,0,0.041366,23.10,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,normal,10,0,predictive,0.054615,0.063941,0.065656,0,0,0.029048,23.83,-0.113,+2.183,+2.989,0,0,-29.778,51
abilene,normal,10,0,oracle,0.054520,0.063941,0.065656,0,0,0.027672,24.48,-0.287,+2.183,+2.989,0,0,-33.103,51
abilene,normal,10,1,reactive,0.059125,0.070656,0.076224,0,0,0.041366,22.27,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,normal,10,1,predictive,0.054940,0.064621,0.065656,0,0,0.029148,24.36,-7.078,-8.542,-13.864,0,0,-29.535,51
abilene,normal,10,1,oracle,0.054772,0.063941,0.065656,0,0,0.027857,23.36,-7.362,-9.504,-13.864,0,0,-32.657,51
abilene,normal,10,2,reactive,0.061715,0.073802,0.077985,0,0,0.041366,20.84,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,normal,10,2,predictive,0.055086,0.064299,0.065656,0,0,0.030500,20.97,-10.741,-12.876,-15.809,0,0,-26.266,51
abilene,normal,10,2,oracle,0.054812,0.063941,0.065656,0,0,0.026806,21.18,-11.185,-13.361,-15.809,0,0,-35.197,51
abilene,normal,20,0,reactive,0.053077,0.060625,0.062052,0,0,0.089368,22.65,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,normal,20,0,predictive,0.052558,0.059781,0.062052,0,0,0.028632,23.13,-0.978,-1.393,-0.000,0,0,-67.962,51
abilene,normal,20,0,oracle,0.052600,0.059781,0.062052,0,0,0.033159,23.21,-0.898,-1.393,-0.000,0,0,-62.896,51
abilene,normal,20,1,reactive,0.057407,0.067977,0.073658,0,0,0.089368,21.23,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,normal,20,1,predictive,0.052653,0.059781,0.062052,0,0,0.033625,21.81,-8.282,-12.057,-15.756,0,0,-62.374,51
abilene,normal,20,1,oracle,0.052690,0.059781,0.062052,0,0,0.035311,21.93,-8.218,-12.057,-15.756,0,0,-60.488,51
abilene,normal,20,2,reactive,0.059559,0.071214,0.075547,0,0,0.089368,23.01,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,normal,20,2,predictive,0.052799,0.059781,0.062052,0,0,0.031205,23.85,-11.350,-16.055,-17.862,0,0,-65.082,51
abilene,normal,20,2,oracle,0.052830,0.059781,0.062052,0,0,0.033403,22.96,-11.298,-16.055,-17.862,0,0,-62.623,51
abilene,normal,40,0,reactive,0.052516,0.059781,0.062052,0,0,0.070773,22.38,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,normal,40,0,predictive,0.052516,0.059781,0.062052,0,0,0.047900,22.65,+0.000,-0.000,-0.000,0,0,-32.320,51
abilene,normal,40,0,oracle,0.052539,0.059781,0.062052,0,0,0.042564,22.46,+0.045,-0.000,-0.000,0,0,-39.859,51
abilene,normal,40,1,reactive,0.055676,0.064374,0.066211,0,0,0.070773,25.34,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,normal,40,1,predictive,0.052600,0.059781,0.062052,0,0,0.048196,26.39,-5.525,-7.135,-6.281,0,0,-31.901,51
abilene,normal,40,1,oracle,0.052621,0.059781,0.062052,0,0,0.046435,25.25,-5.486,-7.135,-6.281,0,0,-34.390,51
abilene,normal,40,2,reactive,0.057137,0.066196,0.069747,0,0,0.070773,23.93,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,normal,40,2,predictive,0.052716,0.059781,0.062052,0,0,0.046439,24.46,-7.738,-9.692,-11.033,0,0,-34.383,51
abilene,normal,40,2,oracle,0.052737,0.059781,0.062052,0,0,0.048986,24.44,-7.701,-9.692,-11.033,0,0,-30.785,51
abilene,spike_2x,5,0,reactive,0.061854,0.075639,0.083712,0,0,0.054452,24.76,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,spike_2x,5,0,predictive,0.070495,0.091618,0.095262,0,0,0.021477,25.19,+13.970,+21.125,+13.797,0,0,-60.558,51
abilene,spike_2x,5,0,oracle,0.070441,0.089849,0.093872,0,0,0.021799,25.13,+13.883,+18.786,+12.136,0,0,-59.966,51
abilene,spike_2x,5,1,reactive,0.066547,0.082433,0.091730,0,0,0.054452,22.76,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,spike_2x,5,1,predictive,0.071265,0.089849,0.093872,0,0,0.018654,23.16,+7.089,+8.997,+2.336,0,0,-65.743,51
abilene,spike_2x,5,1,oracle,0.071110,0.089849,0.093368,0,0,0.020800,23.76,+6.857,+8.997,+1.786,0,0,-61.801,51
abilene,spike_2x,5,2,reactive,0.068535,0.082718,0.095430,0,0,0.054452,22.20,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,spike_2x,5,2,predictive,0.071853,0.090100,0.096144,0,0,0.018398,22.93,+4.842,+8.925,+0.748,0,0,-66.212,51
abilene,spike_2x,5,2,oracle,0.071359,0.090100,0.096144,0,0,0.021286,22.48,+4.121,+8.925,+0.748,0,0,-60.910,51
abilene,spike_2x,10,0,reactive,0.057273,0.066949,0.069554,0,0,0.043375,23.86,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,spike_2x,10,0,predictive,0.059174,0.079158,0.082226,0,0,0.027786,24.45,+3.319,+18.236,+18.219,0,0,-35.940,51
abilene,spike_2x,10,0,oracle,0.059078,0.079158,0.082226,0,0,0.026410,24.93,+3.153,+18.236,+18.219,0,0,-39.112,51
abilene,spike_2x,10,1,reactive,0.061808,0.075394,0.076224,0,0,0.043375,36.58,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,spike_2x,10,1,predictive,0.059499,0.079158,0.082226,0,0,0.027567,23.68,-3.736,+4.992,+7.874,0,0,-36.444,51
abilene,spike_2x,10,1,oracle,0.059330,0.079158,0.082226,0,0,0.026276,23.85,-4.008,+4.992,+7.874,0,0,-39.422,51
abilene,spike_2x,10,2,reactive,0.064529,0.077504,0.081493,0,0,0.043375,23.67,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,spike_2x,10,2,predictive,0.059644,0.079158,0.082226,0,0,0.029030,24.08,-7.570,+2.134,+0.900,0,0,-33.072,51
abilene,spike_2x,10,2,oracle,0.059370,0.079158,0.082226,0,0,0.025336,23.30,-7.995,+2.134,+0.900,0,0,-41.589,51
abilene,spike_2x,20,0,reactive,0.056000,0.066949,0.069554,0,0,0.090029,23.50,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,spike_2x,20,0,predictive,0.055666,0.068741,0.070206,0,0,0.025950,23.57,-0.596,+2.677,+0.938,0,0,-71.176,51
abilene,spike_2x,20,0,oracle,0.055709,0.068741,0.070206,0,0,0.032668,24.29,-0.520,+2.677,+0.938,0,0,-63.714,51
abilene,spike_2x,20,1,reactive,0.060828,0.073369,0.075970,0,0,0.090029,28.06,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,spike_2x,20,1,predictive,0.055766,0.068741,0.070430,0,0,0.032972,26.88,-8.323,-6.308,-7.292,0,0,-63.376,51
abilene,spike_2x,20,1,oracle,0.055795,0.068741,0.070206,0,0,0.034473,27.29,-8.274,-6.308,-7.587,0,0,-61.709,51
abilene,spike_2x,20,2,reactive,0.063279,0.074872,0.080825,0,0,0.090029,26.05,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,spike_2x,20,2,predictive,0.055910,0.068741,0.070206,0,0,0.029697,28.00,-11.646,-8.189,-13.139,0,0,-67.014,51
abilene,spike_2x,20,2,oracle,0.055939,0.068741,0.070125,0,0,0.032696,25.20,-11.599,-8.189,-13.239,0,0,-63.683,51
abilene,spike_2x,40,0,reactive,0.055439,0.066949,0.069554,0,0,0.074789,26.93,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,spike_2x,40,0,predictive,0.055440,0.066949,0.069554,0,0,0.051995,27.89,+0.002,+0.000,+0.000,0,0,-30.478,51
abilene,spike_2x,40,0,oracle,0.055464,0.066949,0.069554,0,0,0.046238,28.74,+0.045,+0.000,+0.000,0,0,-38.176,51
abilene,spike_2x,40,1,reactive,0.059232,0.071096,0.080480,0,0,0.074789,26.51,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,spike_2x,40,1,predictive,0.055524,0.066949,0.069554,0,0,0.049461,27.44,-6.260,-5.833,-13.577,0,0,-33.866,51
abilene,spike_2x,40,1,oracle,0.055545,0.066949,0.069554,0,0,0.047481,26.93,-6.224,-5.833,-13.577,0,0,-36.513,51
abilene,spike_2x,40,2,reactive,0.061052,0.074454,0.079355,0,0,0.074789,38.38,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,spike_2x,40,2,predictive,0.055640,0.066949,0.069554,0,0,0.046303,25.48,-8.864,-10.080,-12.351,0,0,-38.089,51
abilene,spike_2x,40,2,oracle,0.055662,0.066949,0.069554,0,0,0.052245,24.12,-8.829,-10.080,-12.351,0,0,-30.144,51
abilene,ramp_up,5,0,reactive,0.073533,0.092287,0.095430,0,0,0.039619,22.16,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,ramp_up,5,0,predictive,0.089320,0.119202,0.128306,0,0,0.010805,22.54,+21.469,+29.164,+34.450,0,0,-72.728,51
abilene,ramp_up,5,0,oracle,0.088405,0.119202,0.128306,0,0,0.011723,22.46,+20.224,+29.164,+34.450,0,0,-70.411,51
abilene,ramp_up,5,1,reactive,0.078204,0.098627,0.103693,0,0,0.039619,25.25,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,ramp_up,5,1,predictive,0.090301,0.120018,0.124773,0,0,0.009746,23.18,+15.468,+21.689,+20.329,0,0,-75.401,51
abilene,ramp_up,5,1,oracle,0.089701,0.117867,0.124773,0,0,0.010102,23.48,+14.700,+19.508,+20.329,0,0,-74.503,51
abilene,ramp_up,5,2,reactive,0.080398,0.099908,0.107718,0,0,0.039619,21.68,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,ramp_up,5,2,predictive,0.091377,0.115993,0.128306,0,0,0.010544,22.43,+13.656,+16.099,+19.112,0,0,-73.387,51
abilene,ramp_up,5,2,oracle,0.090478,0.115993,0.128306,0,0,0.009363,22.53,+12.538,+16.099,+19.112,0,0,-76.367,51
abilene,ramp_up,10,0,reactive,0.070531,0.089102,0.093171,0,0,0.032133,22.56,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,ramp_up,10,0,predictive,0.076920,0.105038,0.109913,0,0,0.019772,23.90,+9.059,+17.884,+17.970,0,0,-38.469,51
abilene,ramp_up,10,0,oracle,0.076920,0.105038,0.109913,0,0,0.019772,23.41,+9.059,+17.884,+17.970,0,0,-38.469,51
abilene,ramp_up,10,1,reactive,0.074675,0.093272,0.095092,0,0,0.032133,24.25,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,ramp_up,10,1,predictive,0.077662,0.105038,0.109913,0,0,0.016616,25.10,+4.000,+12.614,+15.586,0,0,-48.291,51
abilene,ramp_up,10,1,oracle,0.077662,0.105038,0.109913,0,0,0.016616,25.15,+4.000,+12.614,+15.586,0,0,-48.291,51
abilene,ramp_up,10,2,reactive,0.077041,0.095507,0.100998,0,0,0.032133,21.37,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,ramp_up,10,2,predictive,0.078470,0.105038,0.109913,0,0,0.018344,22.87,+1.855,+9.979,+8.827,0,0,-42.913,51
abilene,ramp_up,10,2,oracle,0.078470,0.105038,0.109913,0,0,0.018344,22.51,+1.855,+9.979,+8.827,0,0,-42.913,51
abilene,ramp_up,20,0,reactive,0.070312,0.089102,0.093171,0,0,0.082990,21.47,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,ramp_up,20,0,predictive,0.071003,0.092948,0.099939,0,0,0.027774,21.83,+0.983,+4.316,+7.265,0,0,-66.534,51
abilene,ramp_up,20,0,oracle,0.070934,0.092324,0.099939,0,0,0.027864,21.91,+0.885,+3.616,+7.265,0,0,-66.424,51
abilene,ramp_up,20,1,reactive,0.075012,0.094278,0.104622,0,0,0.082990,21.82,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,ramp_up,20,1,predictive,0.071654,0.092970,0.099939,0,0,0.028466,22.63,-4.477,-1.388,-4.476,0,0,-65.699,51
abilene,ramp_up,20,1,oracle,0.071539,0.092324,0.099939,0,0,0.027687,22.36,-4.630,-2.072,-4.476,0,0,-66.638,51
abilene,ramp_up,20,2,reactive,0.077479,0.096990,0.109310,0,0,0.082990,21.53,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,ramp_up,20,2,predictive,0.072511,0.093378,0.099939,0,0,0.025274,22.03,-6.412,-3.724,-8.573,0,0,-69.546,51
abilene,ramp_up,20,2,oracle,0.072256,0.092324,0.099939,0,0,0.026783,21.78,-6.741,-4.811,-8.573,0,0,-67.727,51
abilene,ramp_up,40,0,reactive,0.070271,0.089102,0.093171,0,0,0.075995,24.20,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,ramp_up,40,0,predictive,0.070271,0.089102,0.093171,0,0,0.037182,25.29,+0.000,+0.000,-0.000,0,0,-51.073,51
