topology,scenario,k,delay,verdict,delta_mean_pct,delta_p95_pct,delta_peak_pct,delta_overload_07,delta_overload_09,delta_disturb_pct,wins_metrics,losses_metrics,oracle_delta_mean_pct
abilene,flash_crowd,5,0,LOSS,+12.009,+10.257,+7.541,0,0,-66.073,,mean+p95+peak,+11.552
abilene,flash_crowd,5,1,WIN,+5.615,-3.762,-5.340,0,0,-70.968,p95+peak,mean,+4.689
abilene,flash_crowd,5,2,WIN,+2.755,-1.243,-9.225,0,0,-71.248,peak,mean,+1.815
abilene,flash_crowd,10,0,LOSS,+1.776,+9.037,+14.814,0,0,-30.732,,p95+peak,+1.603
abilene,flash_crowd,10,1,WIN,-5.599,-3.299,-2.604,0,0,-30.664,mean+p95+peak,,-5.880
abilene,flash_crowd,10,2,WIN,-10.018,-9.736,-4.803,0,0,-27.737,mean+p95+peak,,-10.454
abilene,flash_crowd,20,0,TIE,-0.657,-1.393,-0.000,0,0,-68.063,,,-0.577
abilene,flash_crowd,20,1,WIN,-8.313,-12.963,-15.756,0,0,-60.489,mean+p95+peak,,-8.250
abilene,flash_crowd,20,2,WIN,-11.798,-17.146,-16.609,0,0,-62.566,mean+p95+peak,,-11.746
abilene,flash_crowd,40,0,TIE,+0.440,-0.000,-0.000,0,0,-35.929,,,+0.194
abilene,flash_crowd,40,1,WIN,-7.094,-7.245,-38.719,0,0,-32.470,mean+p95+peak,,-7.162
abilene,flash_crowd,40,2,WIN,-10.835,-13.176,-42.383,0,0,-38.272,mean+p95+peak,,-10.825
abilene,normal,5,0,LOSS,+11.075,+6.462,+0.398,0,0,-64.269,,mean+p95,+10.905
abilene,normal,5,1,WIN,+4.777,-2.730,-8.377,0,0,-69.345,p95+peak,mean,+4.621
abilene,normal,5,2,WIN,+2.266,+1.403,-11.926,0,0,-69.795,peak,mean,+1.793
abilene,normal,10,0,LOSS,-0.113,+2.183,+2.989,0,0,-29.778,,p95+peak,-0.287
abilene,normal,10,1,WIN,-7.078,-8.542,-13.864,0,0,-29.535,mean+p95+peak,,-7.362
abilene,normal,10,2,WIN,-10.741,-12.876,-15.809,0,0,-26.266,mean+p95+peak,,-11.185
abilene,normal,20,0,TIE,-0.978,-1.393,-0.000,0,0,-67.962,,,-0.898
abilene,normal,20,1,WIN,-8.282,-12.057,-15.756,0,0,-62.374,mean+p95+peak,,-8.218
abilene,normal,20,2,WIN,-11.350,-16.055,-17.862,0,0,-65.082,mean+p95+peak,,-11.298
abilene,normal,40,0,TIE,+0.000,-0.000,-0.000,0,0,-32.320,,,+0.045
abilene,normal,40,1,WIN,-5.525,-7.135,-6.281,0,0,-31.901,mean+p95+peak,,-5.486
abilene,normal,40,2,WIN,-7.738,-9.692,-11.033,0,0,-34.383,mean+p95+peak,,-7.701
abilene,ramp_up,5,0,LOSS,+21.469,+29.164,+34.450,0,0,-72.728,,mean+p95+peak,+20.224
abilene,ramp_up,5,1,LOSS,+15.468,+21.689,+20.329,0,0,-75.401,,mean+p95+peak,+14.700
abilene,ramp_up,5,2,LOSS,+13.656,+16.099,+19.112,0,0,-73.387,,mean+p95+peak,+12.538
abilene,ramp_up,10,0,LOSS,+9.059,+17.884,+17.970,0,0,-38.469,,mean+p95+peak,+9.059
abilene,ramp_up,10,1,LOSS,+4.000,+12.614,+15.586,0,0,-48.291,,mean+p95+peak,+4.000
abilene,ramp_up,10,2,LOSS,+1.855,+9.979,+8.827,0,0,-42.913,,p95+peak,+1.855
abilene,ramp_up,20,0,LOSS,+0.983,+4.316,+7.265,0,0,-66.534,,p95+peak,+0.885
abilene,ramp_up,20,1,WIN,-4.477,-1.388,-4.476,0,0,-65.699,mean+peak,,-4.630
abilene,ramp_up,20,2,WIN,-6.412,-3.724,-8.573,0,0,-69.546,mean+p95+peak,,-6.741
abilene,ramp_up,40,0,TIE,+0.000,+0.000,-0.000,0,0,-51.073,,,+0.055
abilene,ramp_up,40,1,WIN,-4.313,-4.716,-8.589,0,0,-45.390,mean+p95+peak,,-4.297
abilene,ramp_up,40,2,WIN,-5.655,-7.891,-10.464,0,0,-42.723,mean+p95+peak,,-5.640
abilene,spike_2x,5,0,LOSS,+13.970,+21.125,+13.797,0,0,-60.558,,mean+p95+peak,+13.883
abilene,spike_2x,5,1,LOSS,+7.089,+8.997,+2.336,0,0,-65.743,,mean+p95+peak,+6.857
abilene,spike_2x,5,2,LOSS,+4.842,+8.925,+0.748,0,0,-66.212,,mean+p95,+4.121
abilene,spike_2x,10,0,LOSS,+3.319,+18.236,+18.219,0,0,-35.940,,mean+p95+peak,+3.153
