topology,scenario,k,delay,method,mean_mlu,p95_mlu,peak_mlu,overload_0p7,overload_0p9,mean_disturb,mean_decision_ms,sticky_applied_rate,recovery_time,delta_mean_pct,delta_p95_pct,delta_peak_pct,delta_disturb_pct,abl_delta_mean_vs_currapg_pct,abl_delta_p95_vs_currapg_pct,abl_delta_peak_vs_currapg_pct,n_steps
abilene,normal,10,0,phase1,0.059516,0.067390,0.069724,0,0,0.045273,46.31,0.627,2,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,normal,10,0,current_apg,0.053290,0.060507,0.062052,0,0,0.056131,61.86,0.745,-1,-10.461,-10.214,-11.003,+23.982,+0.000,+0.000,+0.000,51
abilene,normal,10,0,predictive,0.053258,0.060507,0.062052,0,0,0.055941,49.40,0.824,-1,-10.514,-10.214,-11.003,+23.564,-0.060,+0.000,+0.000,51
abilene,normal,10,0,oracle,0.053284,0.060836,0.062731,0,0,0.052087,42.48,0.804,-1,-10.471,-9.725,-10.031,+15.051,-0.012,+0.545,+1.093,51
abilene,normal,10,1,phase1,0.061900,0.069199,0.075944,0,0,0.045273,37.09,0.627,2,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,normal,10,1,current_apg,0.057262,0.065385,0.071454,0,0,0.056131,40.00,0.745,-1,-7.492,-5.513,-5.912,+23.982,+0.000,+0.000,+0.000,51
abilene,normal,10,1,predictive,0.056955,0.065301,0.071454,0,0,0.055941,41.38,0.824,-1,-7.988,-5.634,-5.912,+23.564,-0.537,-0.128,+0.000,51
abilene,normal,10,1,oracle,0.056911,0.066714,0.071729,0,0,0.052087,41.12,0.804,-1,-8.060,-3.591,-5.551,+15.051,-0.614,+2.034,+0.384,51
abilene,normal,10,2,phase1,0.063177,0.070095,0.072195,0,0,0.045273,54.95,0.627,2,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,normal,10,2,current_apg,0.058900,0.067137,0.072501,0,0,0.056131,44.85,0.745,-1,-6.769,-4.220,+0.424,+23.982,+0.000,+0.000,+0.000,51
abilene,normal,10,2,predictive,0.059299,0.069997,0.074965,0,0,0.056767,47.24,0.706,7,-6.138,-0.140,+3.836,+25.388,+0.678,+4.260,+3.398,51
abilene,normal,10,2,oracle,0.059065,0.067213,0.072501,0,0,0.052149,42.55,0.706,-1,-6.509,-4.112,+0.424,+15.187,+0.280,+0.113,+0.000,51
