topology,scenario,k,delay,phase1_mlu,current_apg_mlu,predictive_mlu,oracle_mlu,predictive_vs_phase1,predictive_vs_currapg,predictive_delta_mean_pct,abl_delta_mean_vs_currapg_pct
abilene,flash_crowd,10,0,0.059516,0.053862,0.053862,0.054011,TIE,TIE,-9.500,+0.000
abilene,flash_crowd,10,1,0.062177,0.057706,0.057706,0.057925,TIE,TIE,-7.190,+0.000
abilene,flash_crowd,10,2,0.063731,0.059015,0.059415,0.059180,TIE,LOSS,-6.772,+0.676
abilene,flash_crowd,20,0,0.052710,0.052710,0.052710,0.052710,TIE,TIE,+0.000,-0.000
abilene,flash_crowd,20,1,0.057352,0.057014,0.058218,0.057014,LOSS,LOSS,+1.510,+2.112
abilene,flash_crowd,20,2,0.059502,0.058979,0.058979,0.059190,WIN,TIE,-0.880,+0.000
abilene,flash_crowd,40,0,0.052601,0.052601,0.052601,0.052601,TIE,TIE,-0.000,+0.000
abilene,flash_crowd,40,1,0.057049,0.056305,0.056305,0.056305,WIN,TIE,-1.304,+0.000
abilene,flash_crowd,40,2,0.059905,0.057877,0.057877,0.057877,WIN,TIE,-3.385,+0.000
abilene,normal,10,0,0.059516,0.053290,0.053258,0.053284,TIE,TIE,-10.514,-0.060
abilene,normal,10,1,0.061900,0.057262,0.056955,0.056911,TIE,TIE,-7.988,-0.537
abilene,normal,10,2,0.063177,0.058900,0.059299,0.059065,TIE,LOSS,-6.138,+0.678
abilene,normal,20,0,0.052520,0.052553,0.052520,0.052546,TIE,TIE,+0.000,-0.063
abilene,normal,20,1,0.056557,0.056193,0.057053,0.056744,LOSS,TIE,+0.878,+1.530
abilene,normal,20,2,0.058479,0.057856,0.058205,0.058285,LOSS,WIN,-0.469,+0.603
abilene,normal,40,0,0.052516,0.052516,0.052516,0.052516,TIE,TIE,-0.000,+0.000
abilene,normal,40,1,0.055931,0.055783,0.055783,0.055783,TIE,TIE,-0.264,+0.000
abilene,normal,40,2,0.057543,0.056993,0.056993,0.056993,WIN,TIE,-0.955,+0.000
abilene,ramp_up,10,0,0.077681,0.070281,0.070281,0.070281,TIE,TIE,-9.525,+0.000
abilene,ramp_up,10,1,0.081700,0.074597,0.074597,0.074597,TIE,TIE,-8.693,+0.000
abilene,ramp_up,10,2,0.083790,0.076934,0.076934,0.076934,TIE,TIE,-8.183,+0.000
abilene,ramp_up,20,0,0.070271,0.070271,0.070271,0.070271,TIE,TIE,-0.000,-0.000
abilene,ramp_up,20,1,0.075072,0.075023,0.074875,0.075023,WIN,TIE,-0.262,-0.198
abilene,ramp_up,20,2,0.077721,0.077791,0.077791,0.077791,TIE,TIE,+0.089,+0.000
